Folio del reporte,Numero de remisión,Numero de operador,Nombre del operador,Fecha de reporte,Descripción,O.C.,Origen-Destino,Ruta autorizada,Cliente,Origen,CP,Ciudad,Colonia,Calle,Consumo diésel,Casetas,Hora salida,Hora llegada,Placas,Remolques,Dollies,Check
FR-20,1558,44,Operador 11,2025-05-06,Traslado,12775,CDMX-Veracruz,Ruta 1,Cliente 5,CDMX,65249,Ciudad,Centro,Calle 93,237.07,10,0:07,21:38,ABC-813,2,Sí,Cambio ruta
FR-21,1982,33,Operador 7,2026-02-05,Traslado,28995,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,89828,Ciudad,Centro,Calle 70,68.13,5,20:12,23:29,ABC-426,2,No,Cambio ruta
FR-22,8690,31,Operador 41,2025-12-10,Recolección,77372,CDMX-Veracruz,Ruta 1,Cliente 8,CDMX,27106,Ciudad,Centro,Calle 12,266.32,6,10:50,12:22,ABC-357,2,Sí,Botón pánico
FR-23,9143,11,Operador 38,2025-09-07,Recolección,31862,CDMX-Veracruz,Ruta 1,Cliente 5,CDMX,55756,Ciudad,Centro,Calle 21,239.83,10,12:46,16:12,ABC-421,1,No,Botón pánico
FR-24,6984,25,Operador 22,2025-06-26,Recolección,55161,CDMX-Veracruz,Ruta 1,Cliente 14,CDMX,57413,Ciudad,Centro,Calle 86,82.46,8,8:49,10:41,ABC-206,3,Sí,OK
FR-25,5307,4,Operador 32,2025-11-02,Entrega,73338,CDMX-Veracruz,Ruta 1,Cliente 12,CDMX,89002,Ciudad,Centro,Calle 53,284.54,9,5:53,19:36,ABC-984,1,No,Cambio ruta
FR-26,7648,46,Operador 7,2025-04-25,Traslado,54540,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,96058,Ciudad,Centro,Calle 6,299.1,2,23:12,9:54,ABC-658,1,Sí,Botón pánico
FR-27,2217,12,Operador 9,2026-03-02,Entrega,78623,CDMX-Veracruz,Ruta 1,Cliente 19,CDMX,28386,Ciudad,Centro,Calle 48,299.6,4,9:14,22:58,ABC-243,3,No,Cambio ruta
FR-28,3267,14,Operador 17,2025-11-15,Traslado,18399,CDMX-Veracruz,Ruta 1,Cliente 6,CDMX,16750,Ciudad,Centro,Calle 64,63.86,5,0:15,1:52,ABC-660,1,No,Cambio ruta
FR-29,7391,38,Operador 40,2025-09-16,Recolección,82298,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,21810,Ciudad,Centro,Calle 91,276.03,10,9:29,23:23,ABC-424,3,No,Cambio ruta
FR-30,6544,33,Operador 43,2026-03-24,Traslado,53238,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,77804,Ciudad,Centro,Calle 17,232.39,2,1:04,15:07,ABC-538,2,No,Cambio ruta
FR-31,7127,41,Operador 27,2026-01-28,Traslado,91354,CDMX-Veracruz,Ruta 1,Cliente 19,CDMX,39832,Ciudad,Centro,Calle 30,112.53,3,21:12,11:07,ABC-978,3,No,Cambio ruta
FR-32,7697,17,Operador 8,2025-08-25,Entrega,22035,CDMX-Veracruz,Ruta 1,Cliente 14,CDMX,18933,Ciudad,Centro,Calle 68,88.4,3,2:45,7:50,ABC-997,1,No,OK
FR-33,4607,5,Operador 14,2025-04-19,Traslado,68037,CDMX-Veracruz,Ruta 1,Cliente 12,CDMX,80649,Ciudad,Centro,Calle 84,275.92,2,1:33,23:02,ABC-623,1,Sí,Botón pánico
FR-34,9374,43,Operador 33,2026-02-27,Traslado,88668,CDMX-Veracruz,Ruta 1,Cliente 11,CDMX,32734,Ciudad,Centro,Calle 54,94.81,5,19:41,23:48,ABC-316,3,No,Botón pánico
FR-35,1950,3,Operador 24,2025-07-01,Entrega,55720,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,59273,Ciudad,Centro,Calle 3,120.82,1,12:41,10:09,ABC-260,3,Sí,Cambio ruta
FR-36,5542,21,Operador 13,2025-04-13,Traslado,10362,CDMX-Veracruz,Ruta 1,Cliente 13,CDMX,61046,Ciudad,Centro,Calle 11,81.63,5,10:12,18:19,ABC-969,3,No,OK
FR-37,2256,27,Operador 7,2025-03-26,Entrega,92787,CDMX-Veracruz,Ruta 1,Cliente 9,CDMX,96435,Ciudad,Centro,Calle 48,174.45,2,19:10,20:10,ABC-794,3,No,Cambio ruta
FR-38,7091,15,Operador 46,2025-06-29,Recolección,62290,CDMX-Veracruz,Ruta 1,Cliente 16,CDMX,30244,Ciudad,Centro,Calle 68,291.74,8,0:31,11:35,ABC-775,1,No,OK
FR-39,9905,24,Operador 39,2025-05-04,Recolección,77222,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,77224,Ciudad,Centro,Calle 76,189.03,6,15:48,10:14,ABC-169,3,No,Botón pánico
FR-40,8655,44,Operador 11,2025-06-24,Entrega,88768,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,11596,Ciudad,Centro,Calle 72,66.99,6,6:55,23:44,ABC-128,3,Sí,OK
FR-41,8654,25,Operador 3,2026-02-12,Entrega,80785,CDMX-Veracruz,Ruta 1,Cliente 17,CDMX,68252,Ciudad,Centro,Calle 69,138.27,7,18:23,7:47,ABC-379,2,No,OK
FR-42,3410,42,Operador 11,2025-05-12,Traslado,82367,CDMX-Veracruz,Ruta 1,Cliente 12,CDMX,15758,Ciudad,Centro,Calle 35,202.55,5,16:28,18:49,ABC-914,2,Sí,Cambio ruta
FR-43,3140,41,Operador 25,2025-08-14,Traslado,25252,CDMX-Veracruz,Ruta 1,Cliente 1,CDMX,67906,Ciudad,Centro,Calle 16,127.47,6,12:53,1:38,ABC-953,3,Sí,Cambio ruta
FR-44,7479,30,Operador 29,2025-11-02,Entrega,63555,CDMX-Veracruz,Ruta 1,Cliente 12,CDMX,99227,Ciudad,Centro,Calle 56,289.83,2,19:43,13:49,ABC-314,2,No,Cambio ruta
FR-45,6899,16,Operador 15,2025-11-23,Traslado,45730,CDMX-Veracruz,Ruta 1,Cliente 11,CDMX,39959,Ciudad,Centro,Calle 60,250.26,5,16:47,10:48,ABC-406,3,Sí,Botón pánico
FR-46,2551,41,Operador 30,2025-04-24,Recolección,41677,CDMX-Veracruz,Ruta 1,Cliente 2,CDMX,33867,Ciudad,Centro,Calle 92,184.13,5,17:57,10:12,ABC-550,3,No,Cambio ruta
FR-47,6294,8,Operador 24,2025-03-24,Traslado,66520,CDMX-Veracruz,Ruta 1,Cliente 15,CDMX,46355,Ciudad,Centro,Calle 51,80.21,4,19:24,12:18,ABC-764,1,Sí,Cambio ruta
FR-48,2447,3,Operador 9,2026-02-24,Recolección,11394,CDMX-Veracruz,Ruta 1,Cliente 18,CDMX,68467,Ciudad,Centro,Calle 84,69.09,4,13:25,1:04,ABC-826,2,Sí,OK
FR-49,1277,41,Operador 12,2025-07-08,Traslado,67536,CDMX-Veracruz,Ruta 1,Cliente 7,CDMX,67238,Ciudad,Centro,Calle 77,98.63,7,5:56,18:51,ABC-765,3,Sí,Cambio ruta
